index,title,original_language,release_date,popularity,vote_average,vote_count,overview,
9467,The Myth,zh,11/05/2005,13.009,6.3,320,"When a fellow scientist asks for Jack's help in locating the mausoleum of China's first emperor, the past collides violently with the present as Jack discovers his amazing visions are based in fact.",
9468,Cloud 9,en,17/01/2014,12.455,6.9,499,"Set high atop snow-capped mountains in the adrenaline-fueled world of competitive snowboarding, the Disney Channel Original Movie â€œCloud 9â€? tells the inspiring story of two snowboarders who must overcome self-doubt to learn that achieving their dreams is possible.",
9469,LEGO DC Comics Super Heroes: Justice League - Gotham City Breakout,en,21/06/2016,13.007,6.9,120,"The caped crusader reluctantly agrees to let Batgirl and Nightwing take him on a long overdue vacation from crime-fighting, while Superman and the Justice League watch over Gotham City.",
9470,Journey to Italy,it,07/09/1954,13.004,7.3,244,This deceptively simple tale of a bored English couple travelling to Italy to find a buyer for a house inherited from an uncle is transformed by Roberto Rossellini into a passionate story of cruelty and cynicism as their marriage disintegrates around them.,
9471,LEGO DC: Shazam! Magic and Monsters,en,28/04/2020,13.003,7.4,129,"Itâ€™s high time the Justice League took notice of Shazam, but joining the worldâ€™s greatest team of superheroes is a lot harder when theyâ€™ve all been turned into kids.",
9472,The Darkness,en,13/05/2016,13.003,4.8,562,A family returns from a Grand Canyon vacation with a supernatural presence in tow.,
9473,Into the Deep,en,26/08/2022,13.002,5.8,54,"Follows a woman desperate to escape her town, she meets a stranger who promises a romantic escape, but it results in deceit, mistrust, and violence.",
9474,Aloha,en,29/05/2015,13.002,5.5,1891,A celebrated military contractor returns to the site of his greatest career triumphs and re-connects with a long-ago love while unexpectedly falling for the hard-charging Air Force watchdog assigned to him.,
9475,Neo Tokyo,ja,15/04/1989,13,6.6,79,"A trilogy of separate stories. In ""Labyrinth labyrinthos"", a girl and her cat enter a strange world. In ""Running Man"", a racer takes on the ultimate opponent. In ""Construction Cancellation Order"", a man must shut down worker robots.",
9476,Scanners,en,14/01/1981,13,6.7,1035,"After a man with extraordinaryâ€”and frighteningly destructiveâ€”telepathic abilities is nabbed by agents from a mysterious rogue corporation, he discovers he is far from the only possessor of such strange powers, and that some of the other â€œscannersâ€ù have their minds set on world domination, while others are trying to stop them.",
9477,The Science of Sleep,fr,11/02/2006,13,7,677,A man entranced by his dreams and imagination is lovestruck with a French woman and feels he can show her his world.,
9478,The Night of the 12th,fr,13/07/2022,12.999,7.1,419,"Young and ambitious Captain VivÃ©s has just been appointed group leader at the Grenoble Criminal Squad when Clara's murder case lands on his desk. VivÃ©s and his team investigate Clara's complex life and relations, but what starts as a professional and methodical immersion into the victim's life soon turns into a haunting obsession.",
9479,The Other Me,en,04/02/2022,12.999,5.8,38,"The life of a young architect is thrown into turmoil when he's diagnosed with a rare eye disease. As his condition worsens, he questions his life and career choices, and his relationship to his frustrated wife becomes more strained.",
9480,I Lost My Body,fr,06/11/2019,12.997,7.5,1153,"A story of Naoufel, a young man who is in love with Gabrielle. In another part of town, a severed hand escapes from a dissection lab, determined to find its body again.",
9481,Matthias & Maxime,fr,09/10/2019,12.996,7.1,430,"Two childhood best friends are asked to share a kiss for the purposes of a student short film. Soon, a lingering doubt sets in, confronting both men with their preferences, threatening the brotherhood of their social circle, and, eventually, changing their lives.",
9482,Invincible,en,25/08/2006,12.995,7,828,"Inspired by the true story of Vince Papale, a man with nothing to lose who ignored the staggering odds and made his dream come true. When the coach of Papale's beloved hometown football team hosted an unprecedented open tryout, the public consensus was that it was a waste of time â€“ no one good enough to play professional football was going to be found this way.",
9483,The Train,en,24/09/1964,12.995,7.5,267,"As the Allied forces approach Paris in August 1944, German Colonel Von Waldheim is desperate to take all of France's greatest paintings to Germany. He manages to secure a train to transport the valuable art works even as the chaos of retreat descends upon them. The French resistance however wants to stop them from stealing their national treasures but have received orders from London that they are not to be destroyed. The station master, Labiche, is tasked with scheduling the train and making it all happen smoothly but he is also part of a dwindling group of resistance fighters tasked with preventing the theft. He and others stage an elaborate ruse to keep the train from ever leaving French territory.",
9484,Night School,en,27/09/2018,12.994,6.2,1535,"Teddy Walker is a successful salesman whose life takes an unexpected turn when he accidentally blows up his place of employment. Forced to attend night school to get his GED, Teddy soon finds himself dealing with a group of misfit students, his former high school nemesis and a feisty teacher who doesn't think he's too bright.",
9485,Failure to Launch,en,10/03/2006,12.994,5.8,1503,"Tripp, an attractive man in his thirties, is still living with his parents Al and Sue. Tripp's best friends Demo and Ace are also still living in their parents' homes and seem proud of it. Al and Sue are not happy, however, and are fascinated when friends whose adult son has recently moved away from home reveal they hired an expert to arrange the matter and couldn't be happier with the result.",
9486,Fireworks,ja,30/10/1997,12.994,7.7,577,"Detective Nishi is relieved from a stakeout to visit his sick wife in hospital. He is informed that she is terminally ill, and is advised to take her home. During his visit, a suspect shoots one detective dead and leaves Nishi's partner, Horibe, paralyzed. Nishi leaves the police force to spend time with his wife at home, and must find a way to pay off his debts to the yakuza.",
9487,The Town of Ghosts,zh,08/01/2022,12.993,2,2,"Yan Yangyi and Bao Hulu strayed into the strange Underworld Town, where they can only enter but cannot leave. Anyone who leaves without authorization will die mysteriously. Although Yan Yangyi doesn't believe in the horror legends all over Yin-Yang Town, he frequently encounters strange things. Will he be able to survive time after time? What was even more unexpected to Yan Yangyi and Bao Hulu was that under the curse, the spooky town has an amazing secret behind it...",
9488,Vixen: The Movie,en,08/05/2017,12.993,6.8,105,"Originally from Africa, Mari McCabe grew up an orphan after her parents were killed by local greed, corruption and wanton violence. But Mari refuses to succumb to the terrors surrounding her. Inheriting her family's Anansi Totem, Mari can access the powers of animals - anything from the super-strength of a gorilla to the speed of a cheetah. As Vixen, she fights valiantly to protect the world from threats like those that claimed her family.",
9489,Planetarian: Hoshi no Hito,ja,03/09/2016,12.992,6.7,25,The film adapts and expands the Planetarian visual novel by Key. The story is set in a dystopian future where biological and nuclear warfare has left a once prosperous civilization in complete ruin. The film tells the story of an old man travelling around with a mobile planetarium projector to show people the stars.,
9490,The Twelve Tasks of Asterix,fr,26/06/1976,12.992,7.4,1077,"Asterix and Obelix depart on an adventure to complete twelve impossible tasks to prove to Caesar that they are as strong as the Gods. You'll roar with laughter as they outwit, outrun, and generally outrage the very people who are trying to prove them ""only human"".",
9491,Madea Goes to Jail,en,16/02/2009,12.991,6.6,173,"After a high-speed car chase, Madea winds up behind bars because her quick temper gets the best of her. Meanwhile, Assistant District Attorney Josh Hardaway lands a case that's too personal to handle: that of a young prostitute and former drug addict named Candace. When Candace winds up in jail, Madea takes the young woman under her protective wing.",
9492,It Feels So Good,ja,23/08/2019,12.989,6.4,19,"When it rains it pours. Kenji divorced his wife, lost his job and his old squeeze Naoko is getting married back home in the north of Japan, specifically in Akita. He returns there in order to attend her wedding. Naoko surprises him by proposing that they have sex again. The one night stand is the new beginning.",
9493,Life of Crime,en,14/09/2013,12.989,5.7,346,Two common criminals get more than they bargained for after kidnapping the wife of a corrupt real-estate developer who shows no interest in paying the $1 million dollar ransom for her safe return.,
9494,The Last Unicorn,en,19/11/1982,12.989,7.1,420,"From a riddle-speaking butterfly, a unicorn learns that she is supposedly the last of her kind, all the others having been herded away by the Red Bull. The unicorn sets out to discover the truth behind the butterfly's words. She is eventually joined on her quest by Schmendrick, a second-rate magician, and Molly Grue, a now middle-aged woman who dreamed all her life of seeing a unicorn. Their journey leads them far from home, all the way to the castle of King Haggard.",
9495,The Captain,zh,30/09/2019,12.988,7.1,113,Based on the true story of a pilot who had to ensure the safety of 128 passengers and crew members on the plane when its windshield became damaged mid-flight. The incident is regarded as one of the miracles in aviation history.,
9496,Love & Basketball,en,21/04/2000,12.987,7.5,387,"Monica Wright and Quincy McCall grew up in the same neighborhood and have known each other since childhood. As they grow into adulthood, they fall in love, but they also share another all-consuming passion: basketball.  As Quincy and Monica struggle to make their relationship work, they follow separate career paths though high school and college basketball and, they hope, into stardom in big-league professional ball.",
9497,Hollow Man II,en,23/05/2006,12.986,4.9,219,"After the mysterious death of scientist, Dr. Devin Villiers, Det. Frank Turner and his partner are assigned to protect Villiers' colleague, who revealed that  a veteran soldier was subjected to an experiment with the objective of creating the ultimate national security weapon... an undetectable soldier. The experiment failed â€“ with disastrous side effects.",
9498,Doraemon: Nobita's New Great Adventure Into the Underworld - The Seven Magic Users,ja,10/03/2007,12.985,7,61,"Nobita has changed the real world to a world of magic using the ""Moshimo Box"" in admiration of magic. One day, Nobita meets Chaplain Mangetsu, a magic researcher, and his daughter Miyoko. Nobita learns from them that the Great Satan of the Devildom Star is scheming to invade the Earth. The Chaplain tries to find a way out using ancient books, however, the Devildom Star rapidly approaches the Earth by the minute, causing earthquakes and abnormal weather conditions. Nobita, along with his friends, Doraemon, Shizuka, Suneo, Gaian and Dorami, together with Miyoko, storm into the Devildom Star, just like the ""Legendary Seven Heroes"" in an ancient book in order to confront the Great Satan and peace returns to the world of magic.",
9499,High Voltage,en,01/01/1997,12.984,5.6,7,After unknowingly robbing a money laundering operation the heist crew must avoid mobsters.,
9500,This Means War,en,14/02/2012,12.984,6.1,3134,Two top CIA operatives wage an epic battle against one another after they discover they are dating the same woman.,
9501,Big Brother,zh,16/08/2018,12.983,7.6,146,"A soldier-turned-high school teacher uses unusual methods to reach to a class of poor students, while dealing with a greedy entrepreneur and his gang of fighters as well as the government.",
9502,Firewall,en,08/02/2006,12.982,5.8,836,"State-of-the-art security system creator, Jack Stanfield has cemented his reputation as a man who's thought of everything. But when a criminal finds a way into Jack's personal life, everything Jack holds dear is suddenly at stake.",
9503,Rang De Basanti,hi,26/01/2006,12.982,7.2,389,"After a group of friends graduate from Delhi University, they listlessly haunt their old campus, until a British filmmaker casts them in a film she's making about freedom fighters under British rule. Although the group is largely apolitical, the tragic death of a friend owing to local government corruption awakens their patriotism. Inspired by the freedom fighters they represent in the film, the friends collectively decide to avenge the killing.",
9504,The High Note,en,10/06/2020,12.981,7,408,"Set in the dazzling world of the LA music scene comes the story of Grace Davis, a superstar whose talent, and ego, have reached unbelievable heights. Maggie is Graceâ€™s overworked personal assistant whoâ€™s stuck running errands, but still aspires to her childhood dream of becoming a music producer. When Graceâ€™s manager presents her with a choice that could alter the course of her career, Maggie and Grace come up with a plan that could change their lives forever.",
9505,Annette,en,06/07/2021,12.981,6.8,600,"The story of Henry, a stand-up comedian with a fierce sense of humour and Ann, a singer of international renown. In the spotlight, they are the perfect couple, healthy, happy, and glamourous. The birth of their first child, Annette, a mysterious girl with an exceptional destiny, will change their lives.",
9506,Robinson Crusoe on Mars,en,01/06/1964,12.98,6.3,124,"Stranded on Mars with only a monkey as a companion, an astronaut must figure out how to find oxygen, water, and food on the lifeless planet.",
9507,Serial Rapist,ja,01/07/1978,12.978,5.6,9,"A chubby, bicycle-riding rapist/killer dispatches 13 people in a cold, bloody, detached rampage.",
9508,The Double,en,27/10/2011,12.978,5.8,594,"The mysterious murder of a US senator bearing the distinctive trademark of the legendary Soviet assassin 'Cassius', forces retired CIA operative, Paul Shepherson to team with rookie FBI agent, Ben Geary  to solve the crime. Having spent his career chasing Cassius, Shepherdson is convinced his nemesis is long dead, but is pushed to take on the case by his former supervisor, Tom Highland. Geary, who wrote his Master's thesis on Shepherdson's pursuit of the Soviet killer, is certain that Cassius has resurfaced.",
9509,Under the Riccione Sun,it,01/07/2020,12.977,6.2,513,"While vacationing on the crowded beaches of Riccione, a group of teenagers becomes fast friends as they grapple with relationship issues and romance.",
9510,Children of Heaven,fa,01/08/1997,12.977,8,532,"Zohre's shoes are gone; her older brother Ali lost them. They are poor, there are no shoes for Zohre until they come up with an idea: they will share one pair of shoes. School awaits.",
9511,Jessabelle,en,07/11/2014,12.975,5.4,725,A young woman recuperating at her father's run-down home after a tragic accident soon encounters a terrifying presence with a connection to her long-deceased mother.,
9512,Caligula: The Untold Story,it,02/02/1982,12.975,5.4,36,"The deranged Roman emperor Gainus 'Caligula' (Little Boots) Caesar (12-41 A.D.) rules Rome with an iron fist and has anyone tortured and exectued for even the slightest insubordination. Mostly set during his last year of his reign, as Caligula loses support due to his brutal and crazed excess, a young Moor woman, named Miriam, becomes his lover while ploting to kill him to avenge the murder of a friend which Caligula was responsible for. But Miriam is torn between her personal vandeda against Caligula and her own personal feelings towards him despite his madness and debauched lifestyle of orgies and bloody torture murders.",
9513,Funeral in Berlin,en,22/12/1966,12.975,6.4,117,"Colonel Stok, a Soviet intelligence officer responsible for security at the Berlin Wall, appears to want to defect but the evidence is contradictory. Stok wants the British to handle his defection and asks for one of their agents, Harry Palmer, to smuggle him out of East Germany.",
9514,Prisoner of Love,en,09/01/2022,12.972,5.9,7,"An 18-year-old begins dating a charming 50-year-old man who treats her to shopping sprees and fancy restaurants, creating a huge rift with her mother. Momâ€™s instincts prove right when the man becomes psychologically manipulative, turning the girl into an emotional prisoner in his mansiIon.",
9515,Kirikou and the Wild Beasts,fr,07/12/2005,12.971,6.3,286,"The film is a sub-story to Kirikou and the Sorceress rather than a straight sequel. The movie is set while Kirikou is still a child and Karaba is still a sorceress. Like Princes et princesses and Les Contes de la nuit, it is an anthology film comprising several episodic stories, each of them describing Kirikou's interactions with a different animals. It is however unique among Michel Ocelot's films, not only in that it is co-directed by BÃ©nÃ©dicte Galup (who has previously worked with him as an animator) but also for each of the stories being written by a different person (in all other cases, Ocelot has been the sole writer and director of his films).",
9516,Counterattack,zh,15/02/2021,12.969,6.9,10,Security expert Lu Zi Ming is hired to work at an oil and gas plant project bidding event. He is framed by several of the parties involved. In order to prove his innocence he must now devise the ultimate counter-attack.,
9517,One Direction: This Is Us,en,29/08/2013,12.969,8.3,981,"""One Direction: This Is Us"" is a captivating and intimate all-access look at life on the road for the global music phenomenon. Weaved with stunning live concert footage, this inspiring feature film tells the remarkable story of Niall, Zayn, Liam, Harry and Louis's really like to be One Direction.",
9518,Gun Shy,en,04/02/2000,12.969,5.3,116,"Legendary undercover DEA agent Charlie Mayough has suddenly lost his nerves of steel. On the verge of a career-induced mental breakdown, and in complete fear of trigger-happy Mafia leader Fulvio Nesstra, Charlie seeks psychiatric help and finds himself relying on the support of an unstable therapy group and nurse Judy just to get through his work.",
9519,The Hunger,en,29/04/1983,12.969,6.6,478,"Miriam promises her lovers the gift of eternal life, but John, her companion for centuries, suddenly discovers that he is getting old minute by minute, so he looks for Dr. Sarah Roberts, a researcher on the mechanisms of aging, and asks her for help.",
9520,Rurouni Kenshin: Requiem for the Ishin Patriots,ja,20/12/1997,12.968,7,76,"The war against the Tokugawa Shogunate ended years ago. But there are some who are not happy with the outcome. Shigure Takimi watched his friends and family get slashed down in the name of freedom and prosperity. Now he and a band of desparate rebels have sworn to settle one final score. Only one man stands in their way: Rurouni Kenshin. Will the former assassin take up his sword to fight again? When Shigure discovers Kenshin's true identity and his fight becomes a personal vendetta, the young hero will have no choice.",
9521,Someone Great,en,19/04/2019,12.965,6.4,1114,"An aspiring music journalist lands her dream job and is about to move to San Francisco when her boyfriend of nine years decides to call it quits. To nurse her broken heart, she and her two best friends spend one outrageous last adventure in New York City.",
9522,Paranoia,en,14/08/2013,12.964,5.7,775,"An entry-level employee at a powerful corporation finds himself occupying a corner office, but at a dangerous priceâ€”he must spy on his boss's old mentor to secure for him a multi-billion dollar advantage.",
9523,The Shop Around the Corner,en,12/01/1940,12.964,8.3,617,"Two employees at a gift shop can barely stand one another, without realising that they are falling in love through the post as each other's anonymous pen pal.",
9524,The Gendarme and the Gendarmettes,fr,03/10/1982,12.962,6,487,"Cruchot's police office moves into a new building. They do not only get high tech equipment, but also four young female police officers to educate. All of them scramble to work with them -- and cause pure chaos while being distracted by the fine ladies. Then they get into real trouble when one after the other of their female colleagues is kidnapped.",
9525,The Black Tulip,fr,28/02/1964,12.961,6.3,100,"Aristocrat Guillaume de Saint Preux leads a double life as a masked bandit known as the Black Tulip. The Black Tulip only robs rich aristocrats, so the local peasants regard him as a hero. Baron La Mouche is convinced Guillaume is the Tulip. During a robbery, he scars the Tulip's face, and hopes to use this to expose Guillaume, but Guillaume is one step ahead.",
9526,Sweet Boy,th,21/07/2016,12.96,5.3,6,"Nack is a 17 year old boy whose life focuses only on studying. Stepping into the last year of high school, he begins to feel lonely and pressured. As graduation and entrance examination grow closer and closer, he begins to learn about sex and love for the first time in his life. He has to face the questions about the morality of his homosexual love. What will he do?",
9527,Super Family,ru,17/03/2016,12.96,5,35,A whole Bobrov family suddenly become superheroes...,
9528,The Great Gilly Hopkins,en,05/10/2015,12.96,6.6,218,"Wisecracking, gum-chewing 12-year-old Gilly is well known in the foster system. Totally unmanageable, she has stayed with more families than she can remember and has outwitted them all. After all, how can she settle down when her real mother, the beautiful and glamourous Courtney, might be out there waiting for her? When Gilly is sent to live with the Trotters, the weirdest family yet, she isnâ€™t planning to stick around. But cheerful, affectionate Maime Trotter isnâ€™t giving up on Gilly just yet...",
9529,Lava,en,10/10/2014,12.96,7.3,997,"Inspired by the isolated beauty of tropical islands and the explosive allure of ocean volcanoes, Lava is a musical love story that takes place over millions of years.",
9530,Casper: A Spirited Beginning,en,09/09/1997,12.96,5.4,280,"A prequel to the first animated/live-action Casper feature, Casper: A Spirited Beginning introduces the friendliest ghost you'll ever know and explains how Casper met and befriended the other ghouls at Applegate Manor. After being stranded, Casper meets young Chris Carson, a lonely kid who decides to teach Casper how to be a proper ghost",
9531,Heavy Metal 2000,en,19/04/2000,12.957,6.1,188,"Upon discovery of a shard of what could be the Loc-Nar, a miner named Tyler becomes possessed with an insatiable hunger for power and a thirst for immortality. On his way to the planet of youth, Tyler wipes out most of a space colony and kidnaps a beautiful young woman. His only mistake is that he doesn't kill her sister, Julie, who then sets out on a mission of rescue and revenge.",
9532,Jean de Florette,fr,27/08/1986,12.957,7.7,483,"In a rural French village, an old man and his only remaining relative cast their covetous eyes on an adjoining vacant property. They need its spring water for growing their flowers, and are dismayed to hear that the man who has inherited it is moving in. They block up the spring and watch as their new neighbour tries to keep his crops watered from wells far afield through the hot summer. Though they see his desperate efforts are breaking his health and his wife and daughter's hearts, they think only of getting the water.",
9533,Savages,en,06/07/2012,12.956,6.3,1997,Pot growers Ben and Chon face off against the Mexican drug cartel who kidnapped their shared girlfriend.,
9534,Three Days of the Condor,en,24/09/1975,12.956,7.3,1000,"A bookish CIA researcher finds all his co-workers dead, and must outwit those responsible until he figures out who he can really trust.",
9535,The Land Before Time IV: Journey Through the Mists,en,10/12/1996,12.955,6.2,312,"When Littlefoot grandfather falls ill, The dinosaurs only way to cure him is a flower in the forbidding land of mist which hold unexpecting perils and danger.",
9536,Assault on Precinct 13,en,19/01/2005,12.955,6.1,967,"On New Year's Eve, inside a police station that's about to be closed for good, officer Jake Roenick must cobble together a force made up cops and criminals to save themselves from a mob looking to kill mobster Marion Bishop.",
9537,The Overnight,en,19/06/2015,12.954,6,298,"Alex, Emily, and their son, RJ, are new to Los Angeles. A chance meeting at the park introduces them to the mysterious Kurt, Charlotte, and Max. A family â€œplaydateâ€ù becomes increasingly interesting as the night goes on.",
9538,Monday,en,11/09/2020,12.951,6.7,149,"A spark on a Friday can lead to a sizzling weekend fling, but what happens when you get to the inevitable Monday?",
9539,Alice in Wonderland,en,28/02/1999,12.951,6.3,320,"Alice follows a white rabbit down a rabbit-hole into a whimsical Wonderland, where she meets characters like the delightful Cheshire Cat, the clumsy White Knight, a rude caterpillar, and the hot-tempered Queen of Hearts and can grow ten feet tall or shrink to three inches. But will she ever be able to return home?",
9540,One Piece: Episode of Skypiea,ja,31/12/2018,12.95,7,31,"One day, a giant ship falls onto the Straw Hats from the sky. After a narrow escape, and while they are still in shock, a map to the â€œSky Islandâ€ù is carried to them by the wind. While researching for the way there, they meet another pirate and learn that he is a descendant of an infamous Sky Island explorer who was even depicted in a picture book â€œNoland The Liarâ€ù four centuries ago. However, Noland was possibly not a liar after all and might actually have gone to the Sky Island.",
9541,Mary and Max,en,09/02/2009,12.95,7.9,1752,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.",
9542,Lorenzo's Oil,en,30/12/1992,12.95,7.1,475,Augusto and Michaela Odone are dealt a cruel blow by fate when their five-year-old son Lorenzo is diagnosed with a rare and incurable disease. But the Odones' persistence and faith leads to an unorthodox cure which saves their boy and re-writes medical history.,
9543,ã€ŒãÅ“ã‚ŒãÅ¯ç§ÅãÅ ãÅ‘ãÅ®ã‚µãƒ?ãƒ“ã‚?ãÅ§ãÅ™ã‚ˆãƒ»ãƒ»ãƒ»ã€çå·¨ä??ãÅ§ãƒ•ãƒ«å‹ƒèµ·ãÅ—ãÅŸãƒÅâ—‹ãƒùã‚’ã‚’ç¬‘é¡”ãÅ§å®?èµ?ãÅªãÅèãƒŒã‚?ä¸?ãÅ’ãÅ?ãÅèã‚‹å®¶äº‹ä»£è¡ŒãÅ?å§‰ãÅ•ã‚“ã€€ç??ä?ƒãÅ™ãÅ?ã‚Å,ja,23/06/2022,12.948,0,0,,
9544,Lion of the Desert,en,17/04/1981,12.947,7.3,145,"This movie tells the story of Omar Mukhtar, an Arab Muslim rebel who fought against the Italian conquest of Libya in WWII. It gives western viewers a glimpse into this little-known region and chapter of history, and exposes the savage means by which the conquering army attempted to subdue the natives.",
9545,Get Shorty,en,20/10/1995,12.947,6.5,894,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",
9546,Kompromat,fr,07/09/2022,12.946,6.5,175,"Mathieu, a member of the French institute in Irkutsk, is arrested overnight by the Russian authorities.  Imprisoned and accused of sexual abuse on his own daughter, he realises he is a victim of a Kompromat. With the help of the FSB, someone has built up a case to frame him. Isolated, he has no one to turn to. Proving his innocence is impossible: the only solution is to escape.",
9547,Jessica Darling's It List,en,21/06/2016,12.946,5.9,128,"Jessica Darling â€“ a smart, witty, opinionated girl heading into 7th grade â€“ was never too concerned about where she'd fit in the middle school hierarchy. But before her first day of school, her older sister â€” the super popular Bethany, now in collegeâ€”decides to help out by giving her the â€œIt Listâ€ùâ€”a cheat sheet on how to navigate the middle school maze and rise to the top of the popularity chain. The instructions appear simple enough to follow, but, like life, nothing is as easy as it seems.",
9548,The Howling: Reborn,en,18/10/2011,12.945,4.7,100,"On the eve of his high school graduation, unremarkable Will Kidman finally bonds with the girl he has long yearned for, reclusive Eliana Wynter. But he also discovers a dark secret from his past... that he is about to become a werewolf. Now, in an effort to fight destiny and save their love as well as their lives, they must battle not only Will's growing blood lust but an army of fearsome beasts bent on killing them... and then, us all.",
9549,"They Shoot Horses, Don't They?",en,10/12/1969,12.945,7.7,273,"In the midst of the Great Depression, manipulative emcee Rocky enlists contestants for a dance marathon offering a $1,500 cash prize. Among them are a failed actress, a middle-aged sailor, a delusional blonde and a pregnant girl.",
9550,Last Night,en,05/11/2010,12.945,6.1,699,"The story follows a married couple, apart for a night while the husband takes a business trip with a colleague to whom he's attracted. While he's resisting temptation, his wife encounters her past love.",
9551,They Died with Their Boots On,en,20/11/1941,12.945,6.6,99,"The story follows General George Armstrong Custer's adventures from his West Point days to his death. He defies orders during the Civil War, trains the 7th Cavalry, appeases Chief Crazy Horse and later engages in bloody battle with the Sioux nation.",
9552,Los Leones,es,28/11/2019,12.944,8.1,66,A couple's life in NYC becomes a whirlwind when Nicole suspects JosÃ© is cheating on her while receiving the surprise that her father is getting married to a woman half his age.,
9553,The Woman in Black,en,03/02/2012,12.943,6.1,3246,"The story follows a young lawyer, Arthur Kipps, who is ordered to travel to a remote village and sort out a recently deceased clientâ€™s papers. As he works alone in the clientâ€™s isolated house, Kipps begins to uncover tragic secrets, his unease growing when he glimpses a mysterious woman dressed only in black. Receiving only silence from the locals, Kipps is forced to uncover the true identity of the Woman in Black on his own, leading to a desperate race against time when he discovers her true identity.",
9554,Candy,en,25/05/2006,12.943,7.1,550,"A poet falls in love with an art student, who gravitates to his bohemian lifestyle â€” and his love of heroin. Hooked as much on one another as they are on the drug, their relationship alternates between states of oblivion, self-destruction, and despair.",
9555,Rescued by Ruby,en,17/03/2022,12.941,7.5,252,"Chasing his dream to join an elite K-9 unit, a state trooper partners with a fellow underdog: clever but naughty shelter pup Ruby. Based on a true story.",
9556,The Cutting Edge,en,27/03/1992,12.941,7.1,291,"Two former Olympians, one a figure skater and the other a hockey player, pin their hopes of one last shot at Olympic glory on one another. That is, of course, if they can keep from killing each other in the process...",
9557,Enigma,en,22/01/2001,12.941,6.3,255,"The story of the WWII project to crack the code behind the Enigma machine, used by the Germans to encrypt messages sent to their submarines.",
9558,Us X Her,tl,25/11/2022,12.94,5.8,8,A young couple's shaky marriage becomes more chaotic when an other woman comes into the picture. But what happens when the two women fall in love with each other?,
9559,Band of Outsiders,fr,05/08/1964,12.94,7.6,494,"Cinephile slackers Franz and Arthur spend their days mimicking the antiheroes of Hollywood noirs and Westerns while pursuing the lovely Odile. The misfit trio upends convention at every turn, be it through choreographed dances in cafÃ©s or frolicsome romps through the Louvre. Eventually, their romantic view of outlaws pushes them to plan their own heist, but their inexperience may send them out in a blaze of glory -- which could be just what they want.",
9560,What's Love Got to Do with It,en,09/06/1993,12.939,7.1,276,Singer Tina Turner rises to stardom while mustering the courage to break free from her abusive husband Ike.,
9561,Tootsie,en,17/12/1982,12.939,7.2,1568,"When struggling, out of work actor Michael Dorsey secretly adopts a female alter ego - Dorothy Michaels - in order to land a part in a daytime drama, he unwittingly becomes a feminist icon and ends up in a romantic pickle.",
9562,House of the Dead 2,en,11/02/2006,12.938,4.7,108,"In Guesta Verde University, the deranged Professor Curien is trying to bring back the dead, killing students for the experiment. There is an outbreak of zombies in the campus, and the government sends a NSA medical research team, formed by Dr. Alexandra Morgan a.k.a. Nightingale and lieutenant Ellis, with a special force leaded by lieutenant Dalton, trying to get the zero sample from the first generation zombie. The team has a very short time to accomplish their mission and leave the place before missiles are sent to destroy the area. However, the place is crowded of hyper sapiens and the group has to fight to survive.",
9563,Coffy,en,13/06/1973,12.938,6.7,204,"After her younger sister gets involved in drugs and is severely injured by contaminated heroin, a nurse sets out on a mission of vengeance and vigilante justice, killing drug dealers, pimps, and mobsters who cross her path.",
9564,The Surprise Visit,en,14/01/2022,12.936,5.5,15,"When a young couple makes a surprise visit to Mom, they get an even bigger surprise themselves from an old family friend who plans to steal Momâ€™s valuable jewelry while she is out of town. But when the â€œeasy peasyâ€ù robbery goes wrong, resulting in the accidental death of the daughterâ€™s husband, it forces the two young drug addicts to make a difficult decision: to abandon ship, or do the unthinkable.",
9565,The Condemned 2,en,06/11/2015,12.936,5,133,"A former bounty hunter who finds himself on the run as part of a revamped Condemned tournament, in which convicts are forced to fight each other to the death as part of a game that's broadcast to the public.",
9566,Day of the Dead,en,08/04/2008,12.935,5.2,334,"When a small Colorado town is overrun by the flesh hungry dead, a small group of survivors try to escape in a last ditch effort to stay alive.",
9567,The Taming of the Shrew,en,08/03/1967,12.933,7,146,"Italy, 16th century. Petruchio, a choleric, lying and poor rural landowner from Verona, arrives in Padua in search of fortune and a wife, while Baptista, a wealthy merchant, announces that he will not allow Bianca, his youngest daughter, to marry until the temperamental and unruly Katherina, his eldest daughter, does.",
9568,The Grey Zone,en,13/09/2001,12.933,6.6,138,"A Nazi doctorâ€”along with the Sonderkomando, Jews who are forced to work in the crematoria of Auschwitz against their fellow Jewsâ€”find themselves in a moral grey zone.",
9569,Kramer vs. Kramer,en,07/12/1979,12.933,7.6,1996,"Ted Kramer is a career man for whom his work comes before his family. His wife Joanna cannot take this anymore, so she decides to leave him. Ted is now faced with the tasks of housekeeping and taking care of himself and their young son Billy.",
9570,Ju-on: Black Ghost,ja,27/06/2009,12.932,4.8,72,There is a darkness in Fukie's body that grows and spreads to all who touch her life.,
